Product_Id,Product_Name,HSN,GST
4561360191587,Safety Goggles,9004,18
4522146005091,"Ethicon Vicryl Sutures USP 7-0, 3/8 Circle Spatulated Micro-point Needle NW2561",90189099,12
4561360224355,Prex Personal Protection Equipment Kit (PPE Kit),902519,5
4525805764707,Becton Dickinson (BD) Precision Glide Hypodermic Needle - 0.5 inch,90183220,12
4561360257123,Prex Latex Non Sterile Examination Gloves - Large,40151100,12
4561360289891,Prex Latex Non Sterile Examination Gloves - Medium,40151100,12
4561360388195,Prex Latex Non Sterile Examination Gloves - Small,40151100,12
4561360420963,Prex Reusable Ear Loop Personal Protection Mask - Pack of 5,63079090,12
4561360453731,Contec Tp500 Infrared Thermometer,90251910,12
4561360486499,Jumper Infrared Thermometer - Dual Mode (JPD-FR412),90251910,12
4561360552035,Ron and Baker Surgical Handrub 2.5% v/v CHG - 500ml,30049099,12
4561360584803,Newtech ClearNeedle Manual Biopsy Needle - 18G,90183990,12
4561360650339,Bone-Aid Bone Marrow Chiba Needle - 22G,90183990,12
4561360617571,Newtech ClearNeedle Manual Biopsy Needle - 16G,90183990,12
4561360715875,Bone-Aid Bone Marrow Biopsy Needle - 13G,90183990,12
4561360748643,Bone-Aid Bone Marrow Biopsy Needle - 11G,90183990,12
4561360781411,Bone-Aid Bone Marrow Biopsy Needle - 8G,90183990,12
4561360846947,One Touch Select Plus Strips - Pack of 50s,38220019,12
4561360945251,One Touch Select Plus Strips - Pack of 25s,38220019,12
4561361010787,Bellcross Disposable Bed Cover - SMS Fabric,62104090,5
4561361043555,Bellcross Disposable Bed Cover - Non Woven,62104090,5
4561361076323,Harsoria Pressure Monitoring Lines - 200 cm,90183990,12
4561361109091,Bone-Aid Manual Biopsy Needle - 21G,90183990,12
4561361174627,Bone-Aid Manual Biopsy Needle - 18G,90183990,12
4561361207395,Bone-Aid Manual Biopsy Needle - 20G,90183990,12
4561361240163,Bone-Aid Manual Biopsy Needle - 16G,90183990,12
4561361404003,Bone-Aid Automatic Biopsy Needle - 21G,90181990,12
4561361469539,Bone-Aid Automatic Biopsy Needle - 20G,90183990,12
4561361502307,Bone-Aid Automatic Biopsy Needle - 18G,90183990,12
4561361535075,Bone-Aid Automatic Biopsy Needle - 16G,90183990,12
4561361862755,Romsons PM-O-Line Pressure Monitoring Lines - Male to Male,90189099,12
4561362026595,Dispo Van Hypodermic Needle - 1.25 inch,90183290,12
4561361961059,Romsons Hypodermic Needle - 1.0 inch,90183220,12
4561361928291,Romsons Hypodermic Needle - 1.5 inch,90183220,12
4561362223203,Saarthi Smart Assistive Device,9021909,5
4561362288739,Saarthi Smart Assistive Device with Cane,9021909,5
4561362190435,Becton Dickinson (BD) Precision Glide Hypodermic Needle - 1.0 inch,90183220,12
4561362157667,Becton Dickinson (BD) Precision Glide Hypodermic Needle - 1.5 inch,90183220,12
4561362387043,"Meril Mitsu Polyglactin 910 Sutures USP 6-0, 3/8 Circle Round Body",30061010,12
4561362419811,"Meril Mitsu Polyglactin 910 Sutures USP 6-0, 3/8 Circle Cutting",30061010,12
4561362518115,"Meril Mitsu Polyglactin 910 Sutures USP 5-0, 3/8 Circle Round Body",30061010,12
4561362583651,"Meril Mitsu Polyglactin 910 Sutures USP 5-0, 3/8 Circle Cutting",30061010,12
4561362649187,"Meril Mitsu Polyglactin 910 Sutures USP 5-0, 1/2 Circle Reverse Cutting",30061010,12
4561362681955,"Meril Mitsu Polyglactin 910 Sutures USP 4-0, Straight Cutting",30061010,12
4561362747491,"Meril Mitsu Polyglactin 910 Sutures USP 4-0, 3/8 Circle Reverse Cutting",30061010,12
4561362780259,"Meril Mitsu Polyglactin 910 Sutures USP 4-0, 3/8 Circle Cutting 1/2 Circle Round Body",30061010,12
4561362813027,"Meril Mitsu Polyglactin 910 Sutures USP 4-0, 3/8 Circle Cutting",30061010,12
4561363042403,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 1/2 Circle Round Body Double Needle",30061010,12
4561363107939,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 1/2 Circle Cutting",30061010,12
4561363140707,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, Straight Cutting",30061010,12
4561363173475,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 3/8 Circle Reverse Cutting",30061010,12
4561363337315,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 3/8 Circle Cutting",30061010,12
4561363402851,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4561363435619,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 1/2 Circle Round Body Double Needle",30061010,12
4561363533923,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 1/2 Circle Reverse Cutting",30061010,12
4561363566691,"Meril Mitsu Polyglactin 910 Sutures USP 2, 1/2 Circle Round Body",30061010,12
4561363599459,"Meril Mitsu Polyglactin 910 Sutures USP 2, 1/2 Circle Reverse Cutting",30061010,12
4561363632227,"Meril Mitsu Polyglactin 910 Sutures USP 1, 3/8 Circle Round Body",30061010,12
4561363664995,"Meril Mitsu Polyglactin 910 Sutures USP 1, 3/8 Circle Reverse Cutting",30061010,12
4561372381283,"Meril Mitsu Polyglactin 910 Sutures USP 8-0, 3/8 Circle Round Body",30061010,12
4561372545123,"Meril Mitsu Polyglactin 910 Sutures USP 5-0, 3/8 Circle Reverse Cutting",30061010,12
4561372774499,"Meril Mitsu Polyglactin 910 Sutures USP 4-0, 1/2 Circle Round Body",30061010,12
4561372807267,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 3/8 Circle Reverse Cutting",30061010,12
4561372938339,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 1/2 Circle Taper Cut",30061010,12
4561372840035,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 3/8 Circle Cutting",30061010,12
4561372971107,"Meril Mitsu Polyglactin 910 Sutures USP 3-0, 1/2 Circle Round Body",30061010,12
4561373167715,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 1/2 Circle Taper Cut",30061010,12
4561373429859,"Meril Mitsu Polyglactin 910 Sutures USP 1, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564580204643,"Meril Mitsu Polyglactin 910 Sutures USP 0, 1/2 Circle Taper Cut",30061010,12
4561373298787,"Meril Mitsu Polyglactin 910 Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564580237411,"Meril Mitsu Polyglactin 910 Sutures USP 0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564580139107,"Meril Mitsu Polyglactin 910 Sutures USP 1, 1/2 Circle Round Body",30061010,12
4564580335715,"Meril Mitsu Polyglactin 910 Sutures USP 0, 1/2 Circle Reverse Cutting",30061010,12
4564580401251,"Meril Meristeel Stainless Steel Sutures USP 6, 3/8 Circle Cutting",30061010,12
4564580466787,"Meril Meristeel Stainless Steel Sutures USP 6, 1/2 Circle Round Body",30061010,12
4564580499555,"Meril Meristeel Stainless Steel Sutures USP 6, 1/2 Circle Cutting",30061010,12
4564580565091,"Meril Merisoft Chromic Catgut Sutures USP 4-0, 3/8 Circle Taper Cut",30061010,12
4564580532323,"Meril Meristeel Stainless Steel Sutures USP 5, 1/2 Circle Round Body",30061010,12
4564580663395,"Meril Merisoft Chromic Catgut Sutures USP 4-0, 3/8 Circle Round Body",30061010,12
4564580696163,"Meril Merisoft Chromic Catgut Sutures USP 4-0, 3/8 Circle Reverse Cutting",30061010,12
4564580794467,"Meril Merisoft Chromic Catgut Sutures USP 3-0, 3/8 Circle Cutting",30061010,12
4564580827235,"Meril Merisoft Chromic Catgut Sutures USP 3-0, 1/2 Circle Round Body",30061010,12
4564580860003,"Meril Merisoft Chromic Catgut Sutures USP 2-0, Needleless",30061010,12
4564580892771,"Meril Merisoft Chromic Catgut Sutures USP 2-0, 3/8 Circle Round Body",30061010,12
4564581023843,"Meril Merisoft Chromic Catgut Sutures USP 2-0, 1/2 Circle Reverse Cutting Round Body Double Needle",30061010,12
4564580991075,"Meril Merisoft Chromic Catgut Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564581056611,"Meril Merisoft Chromic Catgut Sutures USP 2, Needleless",30061010,12
4564581122147,"Meril Merisoft Chromic Catgut Sutures USP 2, 1/2 Circle Round Body",30061010,12
4564581220451,"Meril Merisoft Chromic Catgut Sutures USP 1, Needleless",30061010,12
4564581253219,"Meril Merisoft Chromic Catgut Sutures USP 1, 3/8 Circle Round Body",30061010,12
4564581318755,"Meril Merisoft Chromic Catgut Sutures USP 1, 1/2 Circle Round Body",30061010,12
4564581351523,"Meril Merisoft Chromic Catgut Sutures USP 0, Needleless",30061010,12
4564581384291,"Meril Merisoft Chromic Catgut Sutures USP 0, 3/8 Circle Round Body",30061010,12
4564581417059,"Meril Merisoft Plain Catgut Sutures USP 3-0, Needleless",30061010,12
4564581515363,"Meril Merisoft Plain Catgut Sutures USP 2-0, Needleless",30061010,12
4564581449827,"Meril Merisoft Plain Catgut Sutures USP 3-0, 3/8 Circle Cutting",30061010,12
4564581679203,"Meril Merisoft Plain Catgut Sutures USP 2-0, 3/8 Circle Round Body",30061010,12
4564581711971,"Meril Merisoft Plain Catgut Sutures USP 1, Needleless",30061010,12
4564581744739,"Meril Megasorb Polyglycolic Acid Sutures USP 5-0, 1/2 Circle Round Body",30061010,12
4564581777507,"Meril Megasorb Polyglycolic Acid Sutures USP 4-0, 1/2 Circle Round Body",30061010,12
4564581843043,"Meril Megasorb Polyglycolic Acid Sutures USP 3-0, 1/2 Circle Round Body",30061010,12
4564581875811,"Meril Megasorb Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564581974115,"Meril Megasorb Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Reverse Cutting",30061010,12
4564581908579,"Meril Megasorb Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564582006883,"Meril Megasorb Polyglycolic Acid Sutures USP 1, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564582039651,"Meril Megasorb Polyglycolic Acid Sutures USP 1, 1/2 Circle Round Body",30061010,12
4564582105187,"Meril Megasorb Polyglycolic Acid Sutures USP 1, 1/2 Circle Reverse Cutting",30061010,12
4564582203491,"Meril Megasorb Polyglycolic Acid Sutures USP 0, 1/2 Circle Taper Cut",30061010,12
4564582269027,"Meril Megasorb Polyglycolic Acid Sutures USP 0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564582367331,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 3-0, 1/2 Circle Round Body",30061010,12
4564582400099,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564582334563,"Meril Megasorb Polyglycolic Acid Sutures USP 0, 1/2 Circle Round Body",30061010,12
4564582498403,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564582563939,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Reverse Cutting",30061010,12
4564582596707,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 1, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564582629475,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 1, 1/2 Circle Round Body",30061010,12
4564582695011,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 1, 1/2 Circle Reverse Cutting",30061010,12
4564582727779,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 0, 1/2 Circle Round Body Taper Cut Double Needle",30061010,12
4564582760547,"Meril Megasorb T Plus Polyglycolic Acid Sutures USP 0, 1/2 Circle Round Body",30061010,12
4564582793315,"Meril Megasorb Plus Polyglycolic Acid Sutures USP 3-0, 1/2 Circle Round Body",30061010,12
4564582826083,"Meril Megasorb Plus Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564582891619,"Meril Megasorb Plus Polyglycolic Acid Sutures USP 1, 1/2 Circle Round Body",30061010,12
4564582924387,"Meril Megasorb Plus Polyglycolic Acid Sutures USP 1, 1/2 Circle Reverse Cutting",30061010,12
4564582957155,"Meril Megasorb Rapid Polyglycolic Acid Sutures USP 2-0, 1/2 Circle Taper Cut",30061010,12
4564583022691,"Meril Filapron Polyglecaprone 25 Sutures USP 6-0, Curved Needle",30061010,12
4564583120995,"Meril Filapron Polyglecaprone 25 Sutures USP 5-0, 3/8 Circle Cutting",30061010,12
4564583186531,Meril Filapron Polyglecaprone 25 Sutures USP 4-0 3/8 Circle Round Body,30061010,12
4564583153763,"Meril Filapron Polyglecaprone 25 Sutures USP 5-0, 3/8 Circle Reverse Cutting",30061010,12
4564583284835,Meril Filapron Polyglecaprone 25 Sutures USP 4-0 3/8 Circle Reverse Cutting,30061010,12
4564583350371,Meril Filapron Polyglecaprone 25 Sutures USP 4-0 3/8 Circle Cutting,30061010,12
4564583415907,"Meril Filapron Polyglecaprone 25 Sutures USP 3-0, Straight Cutting",30061010,12
4564583481443,"Meril Filapron Polyglecaprone 25 Sutures USP 3-0, 3/8 Circle Reverse Cutting",30061010,12
4564583514211,"Meril Filapron Polyglecaprone 25 Sutures USP 3-0, 3/8 Circle Cutting",30061010,12
4564583612515,"Meril Filapron Polyglecaprone 25 Sutures USP 2-0, 5/8 Circle Round Body",30061010,12
4564583546979,"Meril Filapron Polyglecaprone 25 Sutures USP 3-0, 1/2 Circle Round Body Black Needle",30061010,12
4564583743587,"Meril Filapron Polyglecaprone 25 Sutures USP 2-0, 1/2 Circle Round Body",30061010,12
4564583907427,"Meril Filapron Polyglecaprone 25 Sutures USP 0, 1/2 Circle Round Body",30061010,12
4564583940195,"Meril Filaxyn Polydioxanone Sutures USP 7-0, 3/8 Circle Taper Cut Double Needle",30061010,12
4564583972963,"Meril Filaxyn Polydioxanone Sutures USP 7-0, 3/8 Circle Round Body Double Needle",30061010,12
4564584104035,"Meril Filaxyn Polydioxanone Sutures USP 6-0, 3/8 Circle Round Body Double Needle",30061010,12
4564584136803,"Meril Filaxyn Polydioxanone Sutures USP 6-0, 3/8 Circle Cutting",30061010,12
4564584169571,"Meril Filaxyn Polydioxanone Sutures USP 5-0, 3/8 Circle Round Body",30061010,12
4564584202339,"Meril Filaxyn Polydioxanone Sutures USP 5-0, 3/8 Circle Reverse Cutting",30061010,12
